Year,Line,Station,Influx
2010,1,Pantitlan,16457920
2010,1,Zaragoza,18756335
2010,1,Gomez Farias,14881486
2010,1,Blvd. Puerto Aereo,10596640
2010,1,Balbuena,4943778
2010,1,Moctezuma,8876932
2010,1,San Lazaro,9676879
2010,1,Candelaria,8424654
2010,1,Merced,18725254
2010,1,Pino Suarez,11499489
2010,1,Isabel la Catolica,7379187
2010,1,Salto del Agua,7815475
2010,1,Balderas,6278543
2010,1,Cuauhtemoc,6938493
2010,1,Insurgentes,17819154
2010,1,Sevilla,8809911
2010,1,Chapultepec,20278248
2010,1,Juanacatlan,2855671
2010,1,Tacubaya,12002758
2010,1,Observatorio,22120758
2010,2,Cuatro Caminos,44425920
2010,2,Panteones,2410757
2010,2,Tacuba,12558303
2010,2,Cuitlahuac,6290034
2010,2,Popotla,2558643
2010,2,Colegio Militar,5471145
2010,2,Normal,12923602
2010,2,San Cosme,7455453
2010,2,Revolucion,11448592
2010,2,Hidalgo,11322951
2010,2,Bellas Artes,8182062
2010,2,Allende,11269920
2010,2,Zocalo,29723752
2010,2,Pino Suarez,5114337
2010,2,San Antonio Abad,7418514
2010,2,Chabacano,9162074
2010,2,Viaducto,7618798
2010,2,Xola,6151510
2010,2,Villa de Cortes,5667042
2010,2,Nativitas,6492514
2010,2,Portales,5598225
2010,2,Ermita,6724161
2010,2,General Anaya,9261703
2010,2,Tasquena,29703372
2010,3,Indios Verdes,43170596
2010,3,Deportivo 18 de Marzo,14942472
2010,3,Potrero,7642002
2010,3,La Raza,13789229
2010,3,Tlatelolco,8262432
2010,3,Guerrero,4839159
2010,3,Hidalgo,7733000
2010,3,Juarez,7056809
2010,3,Balderas,2855827
2010,3,Ninos Heroes,5957767
2010,3,Hospital General,8683096
2010,3,Centro Medico,7876846
2010,3,Etiopia,10763113
2010,3,Eugenia,6285519
2010,3,Division del Norte,7280207
2010,3,Zapata,13397010
2010,3,Coyoacan,8372339
2010,3,Viveros,8407526
2010,3,Miguel A. de Quevedo,9505020
2010,3,Copilco,13259563
2010,3,Universidad,21488548
2010,4,Santa Anita,738876
2010,4,Jamaica,2385489
2010,4,Fray Servando,2430598
2010,4,Candelaria,2412763
2010,4,Morelos,2535630
2010,4,Canal del Norte,2906978
2010,4,Consulado,1390133
2010,4,Bondojito,2048015
2010,4,Talisman,1918081
2010,4,Martin Carrera,6168970
2010,5,Politecnico,12541693
2010,5,Inst. del Petroleo,1941042
2010,5,Autobuses del Norte,8520357
2010,5,La Raza,3671113
2010,5,Misterios,2816043
2010,5,Valle Gomez,1334323
2010,5,Consulado,1327744
2010,5,Eduardo Molina,2287814
2010,5,Aragon,2464290
2010,5,Oceania,2874476
2010,5,Terminal Aerea,4778274
2010,5,Hangares,1624789
2010,5,Pantitlan,28495663
2010,6,El Rosario,6703354
2010,6,Tezozomoc,854872
2010,6,Azcapotzalco,2310406
2010,6,Ferreria,5101666
2010,6,Norte 45,2300089
2010,6,Vallejo,1355742
2010,6,Inst. del Petroleo,1209170
2010,6,Lindavista,5379754
2010,6,Deportivo 18 de Marzo,573374
2010,6,La Villa-Basilica,5182855
2010,6,Martin Carrera,9910047
2010,7,El Rosario,12097027
2010,7,Aquiles Serdan,4365528
2010,7,Camarones,4009151
2010,7,Refineria,2710843
2010,7,Tacuba,2305599
2010,7,San Joaquin,5724150
2010,7,Polanco,9296098
2010,7,Auditorio,8737991
2010,7,Constituyentes,2196059
2010,7,Tacubaya,1645322
2010,7,San Pedro los Pinos,3388221
2010,7,San Antonio,4021603
2010,7,Mixcoac,6498108
2010,7,Barranca del Muerto,11678844
2010,8,Garibaldi,8049537
2010,8,Bellas Artes,7230733
2010,8,San Juan de Letran,10461217
2010,8,Salto del Agua,6240607
2010,8,Doctores,3630411
2010,8,Obrera,5006703
2010,8,Chabacano,1326785
2010,8,La Viga,2360495
2010,8,Santa Anita,2455798
2010,8,Coyuya,7246883
2010,8,Iztacalco,6868273
2010,8,Apatlaco,4008599
2010,8,Aculco,3780719
2010,8,Escuadron 201,8359891
2010,8,Atlalilco,5865283
2010,8,Iztapalapa,3264470
2010,8,Cerro de la Estrella,3943009
2010,8,UAM I,8558795
2010,8,Constitucion de 1917,32213269
2010,9,Pantitlan,29390961
2010,9,Puebla,10553236
2010,9,Ciudad Deportiva,2213704
2010,9,Velodromo,3321898
2010,9,Mixiuhca,7143325
2010,9,Jamaica,3471229
2010,9,Chabacano,3949085
2010,9,Lazaro Cardenas,4154013
2010,9,Centro Medico,2375852
2010,9,Chilpancingo,14281851
2010,9,Patriotismo,4468134
2010,9,Tacubaya,17140583
2010,A,Pantitlan,24486999
2010,A,Agricola Oriental,3296302
2010,A,Canal de San Juan,3919426
2010,A,Tepalcates,5142701
2010,A,Guelatao,5878855
2010,A,Penon Viejo,3547458
2010,A,Acatitla,5033111
2010,A,Santa Marta,8908358
2010,A,Los Reyes,7032662
2010,A,La Paz,9904250
2010,B,Buenavista,16882804
2010,B,Guerrero,1507936
2010,B,Garibaldi,3020691
2010,B,Lagunilla,9649321
2010,B,Tepito,8282127
2010,B,Morelos,1984624
2010,B,San Lazaro,5516503
2010,B,Ricardo Flores Magon,2090132
2010,B,Romero Rubio,3338387
2010,B,Oceania,3475145
2010,B,Deportivo Oceania,6078055
2010,B,Bosque de Aragon,2267338
2010,B,Villa de Aragon,4815556
2010,B,Nezahualcoyotl,7783158
2010,B,Impulsora,9382897
2010,B,Rio de los Remedios,7881492
2010,B,Muzquiz,11994381
2010,B,Tecnologico,9813127
